class;meanLeftPupilDiameter;meanRightPupilDiameter;stdLeftGazeDirection;stdRightGazeDirection;stdHeadDirection;meanHeartRate
0;0.00563238;0.00599163;0.07628589999999999;0.0938518;0.00593544;75.6667
0;0.0056256;0.0060251;0.0546755;0.06705710000000001;0.00467237;79.3067
0;0.0056492;0.00599749;0.110723;0.057785500000000004;0.00714131;80.5033
0;0.00573881;0.00602804;0.0689037;0.107833;0.00454744;80.13
0;0.00562108;0.00596658;0.0630187;0.0641257;0.00558479;75.9533
0;0.00570735;0.00603424;0.104353;0.0731472;0.00656174;80.6767
0;0.00575027;0.00599833;0.09284339999999999;0.116224;0.005294;79.6167
0;0.00563807;0.00601185;0.08898389999999999;0.107795;0.00496591;81.1267
0;0.00573743;0.00597765;0.0941807;0.10184800000000001;0.00449321;78.3167
0;0.00552319;0.00601792;0.111382;0.10498099999999999;0.00561463;75.9067
0;0.00571017;0.00600819;0.119423;0.06657460000000001;0.00471534;80.5767
0;0.00556459;0.00587261;0.08683710000000001;0.0920228;0.00398172;76.0233
0;0.0056108;0.00593087;0.104144;0.0551605;0.00537943;75.6333
0;0.0056901;0.00601571;0.0570766;0.12256500000000001;0.00656725;80.1333
0;0.00569922;0.00591256;0.06872639999999999;0.10786;0.00520386;75.99
0;0.00561423;0.00600853;0.0761821;0.0719267;0.00751769;75.6467
0;0.00552216;0.00583954;0.0929826;0.11981099999999999;0.00457651;80.1767
0;0.00555837;0.00600491;0.07437919999999999;0.122697;0.00428804;80.4533
0;0.00562418;0.00588924;0.056169100000000007;0.0670781;0.00358484;80.6133
0;0.00550252;0.00602813;0.0818385;0.0728221;0.00758176;79.7333
0;0.00551678;0.00594908;0.0871064;0.119402;0.00550242;77.18
0;0.00575504;0.00600586;0.08796;0.0670798;0.00434602;80.9833
0;0.00570272;0.00596975;0.06401359999999999;0.121564;0.00722186;81.0033
0;0.00549759;0.00596557;0.09341519999999999;0.0923101;0.006217;79.71
0;0.00565171;0.00589216;0.118652;0.054781899999999994;0.00354785;76.0433
0;0.00568658;0.00603524;0.0931405;0.10096799999999999;0.0054829;80.0367
0;0.00566454;0.00593021;0.06772460000000001;0.12329000000000001;0.00487498;81.1467
0;0.00569861;0.00599955;0.052369900000000004;0.06705180000000001;0.00596565;76.06
0;0.00571241;0.00597933;0.0708825;0.0547429;0.00663552;77.3267
0;0.00570476;0.00599587;0.11735799999999999;0.0928171;0.00579079;80.2367
0;0.00564732;0.005966;0.110714;0.0879308;0.00577627;80.7733
0;0.00569292;0.00598037;0.104649;0.101797;0.00433674;79.9833
0;0.00573842;0.0060224;0.0880166;0.101521;0.00509084;80.5133
0;0.00558392;0.00603126;0.0864333;0.06957560000000002;0.00702307;80.0733
0;0.00573128;0.00600374;0.0690442;0.06706419999999999;0.00330247;80.4867
0;0.00569132;0.00588574;0.08899589999999999;0.06704550000000001;0.00520334;80.1433
0;0.00566898;0.0060184;0.08140739999999999;0.100844;0.00509724;81.2267
